AGENCY #,AGENCY TITLE,ROLE,SERVICE TYPE,FULL/PART-TIME,ANNUAL SALARY
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,25772
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,51541
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,56679
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,49191
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Accountant 1,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,62412
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,62420
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,54017
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,27010
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,62412
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,51541
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,49191
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,56679
58090,OUS - ACME University,Accountant 2,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,16973
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,18669
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,23369
58090,OUS - ACME University,Accounting Technician,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,24926
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,16973
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,21215
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,27846
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Administrative Program Assist,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,44724
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Administrative Program Spec,Classified Staff,Full-Time,40764
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,97692
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,84444
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,69024
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,46772
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,58822
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,71784
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,79008
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,60000
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,70692
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,65004
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,57876
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,54996
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,80916
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,57557
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,51561
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,80016
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,80136
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,75768
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,68052
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,73980
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,78780
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,76584
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,70260
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,65004
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,73080
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,85969
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,52380
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,84492
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,78180
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,70836
58090,OUS - ACME University,Analyst Programmer,Classified Staff,Full-Time,51132
58090,OUS - ACME University,ANT C Research Analyst 1 LlD,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Architectural Consultant,Classified Staff,Full-Time,68604
58090,OUS - ACME University,Archivist,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Athletic Equipment Coordinator,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Budget Analyst,Classified Staff,Full-Time,59466
58090,OUS - ACME University,Budget Analyst,Classified Staff,Full-Time,49191
58090,OUS - ACME University,Budget Analyst,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Budget Analyst,Classified Staff,Full-Time,62412
58090,OUS - ACME University,Buyer 2,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Campus Dispatcher,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Campus Dispatcher,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Campus Dispatcher,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Campus Dispatcher,Classified Staff,Full-Time,27871
58090,OUS - ACME University,Campus Dispatcher,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,35463
